airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week
KLM,KL1376 / KL1361,Bucharest Henri Coandă International Airport,Romania,2026-05-28T18:10,1,2026-05-28T22:35,Václav Havel Airport Prague,Czech Republic,economy,189,27,4h 15m,OTP,PRG,2026-05-01T21:29:45+0300,evening,night,thursday,thursday
LOT,LO640 / LO527,Bucharest Henri Coandă International Airport,Romania,2026-05-28T08:20,1,2026-05-28T12:05,Václav Havel Airport Prague,Czech Republic,economy,208,27,3h 05m,OTP,PRG,2026-05-01T21:29:45+0300,morning,afternoon,thursday,thursday
LOT,LO646 / LO529,Bucharest Henri Coandă International Airport,Romania,2026-05-28T18:30,1,2026-05-28T21:40,Václav Havel Airport Prague,Czech Republic,economy,208,27,3h 05m,OTP,PRG,2026-05-01T21:29:45+0300,evening,night,thursday,thursday
Austrian,OS704 / OS555,Iași Airport,Romania,2026-05-22T16:00,1,2026-05-23T17:15,Leonardo da Vinci International Airport,Italy,economy,259,21,3h 10m,IAS,FCO,2026-05-01T21:29:46+0300,afternoon,evening,friday,saturday
Austrian,OS704 / OS551,Iași Airport,Romania,2026-05-22T16:00,1,2026-05-23T08:05,Leonardo da Vinci International Airport,Italy,economy,444,21,3h 05m,IAS,FCO,2026-05-01T21:29:46+0300,afternoon,morning,friday,saturday
KLM,KL1374 / KL1825,Bucharest Henri Coandă International Airport,Romania,2026-06-13T14:00,1,2026-06-13T22:00,Frankfurt Airport,Germany,economy,144,43,4h 00m,OTP,FRA,2026-05-01T21:29:46+0300,afternoon,night,saturday,saturday
AJet,VF596 / VF523,Bucharest Henri Coandă International Airport,Romania,2026-06-13T19:55,1,2026-06-14T16:45,Frankfurt Airport,Germany,economy,145,43,5h 15m,OTP,FRA,2026-05-01T21:29:46+0300,evening,afternoon,saturday,sunday
SWISS,LX1889 / LX1076,Bucharest Henri Coandă International Airport,Romania,2026-06-13T16:10,1,2026-06-13T19:55,Frankfurt Airport,Germany,economy,208,43,3h 30m,OTP,FRA,2026-05-01T21:29:46+0300,afternoon,evening,saturday,saturday
Austrian,OS694 / OS213,Bucharest Henri Coandă International Airport,Romania,2026-06-13T13:15,1,2026-06-13T16:25,Frankfurt Airport,Germany,economy,214,43,3h 10m,OTP,FRA,2026-05-01T21:29:46+0300,afternoon,afternoon,saturday,saturday
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-06-13T13:55,0,2026-06-13T15:30,Frankfurt Airport,Germany,economy,304,43,2h 35m,OTP,FRA,2026-05-01T21:29:46+0300,afternoon,afternoon,saturday,saturday
Turkish Airlines,TK1046 / TK1015,Bucharest Henri Coandă International Airport,Romania,2026-06-20T21:35,1,2026-06-21T21:10,Timișoara International Airport,Romania,economy,243,50,3h 15m,OTP,TSR,2026-05-01T21:29:51+0300,night,night,saturday,sunday
Austrian,OS698 / OS703,Bucharest Henri Coandă International Airport,Romania,2026-06-12T18:55,1,2026-06-13T15:20,Iași Airport,Romania,economy,231,42,3h 10m,OTP,IAS,2026-05-01T21:30:05+0300,evening,afternoon,friday,saturday
Air Serbia,JU107 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-29T04:30,1,2026-05-30T03:00,Sofia International Airport,Bulgaria,economy,97,28,2h 45m,OTP,SOF,2026-05-01T21:30:06+0300,night,night,friday,saturday
Air Serbia,JU107 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-05-29T04:30,1,2026-05-29T15:30,Sofia International Airport,Bulgaria,economy,146,28,2h 45m,OTP,SOF,2026-05-01T21:30:06+0300,night,afternoon,friday,friday
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-29T18:30,1,2026-05-30T01:55,Sofia International Airport,Bulgaria,economy,149,28,3h 50m,OTP,SOF,2026-05-01T21:30:06+0300,evening,night,friday,saturday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-05-29T18:55,1,2026-05-29T23:55,Sofia International Airport,Bulgaria,economy,234,28,3h 10m,OTP,SOF,2026-05-01T21:30:06+0300,evening,night,friday,friday
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-29T09:30,1,2026-05-29T15:00,Sofia International Airport,Bulgaria,economy,257,28,2h 50m,OTP,SOF,2026-05-01T21:30:06+0300,morning,afternoon,friday,friday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-29T13:15,1,2026-05-29T18:10,Sofia International Airport,Bulgaria,economy,326,28,3h 10m,OTP,SOF,2026-05-01T21:30:06+0300,afternoon,evening,friday,friday
TAROM,RO617,Bucharest Henri Coandă International Airport,Romania,2026-06-03T16:45,0,2026-06-03T18:10,Maramures International Airport,Romania,economy,124,33,1h 25m,OTP,BAY,2026-05-01T21:30:11+0300,afternoon,evening,wednesday,wednesday
Turkish Airlines,TK1046 / TK1841,Bucharest Henri Coandă International Airport,Romania,2026-06-22T21:35,1,2026-06-23T03:05,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,122,52,2h 55m,OTP,ATH,2026-05-01T21:30:14+0300,night,night,monday,tuesday
SWISS,LX1887 / LX1830,Bucharest Henri Coandă International Airport,Romania,2026-06-22T06:20,1,2026-06-22T13:10,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,232,52,5h 20m,OTP,ATH,2026-05-01T21:30:14+0300,morning,afternoon,monday,monday
Lufthansa,LH1423 / LH1280,Bucharest Henri Coandă International Airport,Romania,2026-06-22T06:05,1,2026-06-22T13:25,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,241,52,5h 25m,OTP,ATH,2026-05-01T21:30:14+0300,morning,afternoon,monday,monday
Aegean,A3961,Bucharest Henri Coandă International Airport,Romania,2026-06-22T09:55,0,2026-06-22T11:30,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,258,52,1h 35m,OTP,ATH,2026-05-01T21:30:14+0300,morning,morning,monday,monday
Austrian,OS706 / OS513,Iași Airport,Romania,2026-05-04T05:20,1,2026-05-04T10:05,Bologna Guglielmo Marconi Airport,Italy,economy,534,3,2h 55m,IAS,BLQ,2026-05-01T21:39:25+0300,morning,morning,monday,monday
Turkish Airlines,TK1246 / TK1039,London Stansted Airport,United Kingdom,2026-06-17T06:15,1,2026-06-17T14:35,Bucharest Henri Coandă International Airport,Romania,economy,314,47,5h 10m,STN,OTP,2026-05-01T21:39:27+0300,morning,afternoon,wednesday,wednesday
Turkish Airlines,TK1242 / TK1045,London Stansted Airport,United Kingdom,2026-06-17T10:50,1,2026-06-17T20:15,Bucharest Henri Coandă International Airport,Romania,economy,314,47,5h 15m,STN,OTP,2026-05-01T21:39:27+0300,morning,evening,wednesday,wednesday
Austrian,OS708 / OS187,Sibiu International Airport,Romania,2026-05-09T16:10,1,2026-05-09T18:40,Munich International Airport,Germany,economy,271,8,2h 20m,SBZ,MUC,2026-05-01T21:41:05+0300,afternoon,evening,saturday,saturday
TAROM,RO648 / RO415,"Cluj ""Avram Iancu"" International Airport",Romania,2026-05-20T19:55,1,2026-05-21T11:25,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,230,19,5h 00m,CLJ,MAD,2026-05-01T21:41:45+0300,evening,morning,wednesday,thursday
SWISS,LX1883 / LX2020,"Cluj ""Avram Iancu"" International Airport",Romania,2026-05-20T15:55,1,2026-05-21T09:20,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,269,19,4h 35m,CLJ,MAD,2026-05-01T21:41:45+0300,afternoon,morning,wednesday,thursday
Air Serbia,JU405 / JU102,Leonardo da Vinci International Airport,Italy,2026-06-08T21:00,1,2026-06-09T15:20,Bucharest Henri Coandă International Airport,Romania,economy,146,38,2h 45m,FCO,OTP,2026-05-01T21:42:57+0300,night,afternoon,monday,tuesday
Lufthansa,LH1869 / LH1654,Leonardo da Vinci International Airport,Italy,2026-06-08T15:55,1,2026-06-09T01:10,Bucharest Henri Coandă International Airport,Romania,economy,240,38,3h 35m,FCO,OTP,2026-05-01T21:42:57+0300,afternoon,night,monday,tuesday
SWISS,LX1737 / LX1886,Leonardo da Vinci International Airport,Italy,2026-06-08T15:05,1,2026-06-09T01:10,Bucharest Henri Coandă International Airport,Romania,economy,246,38,4h 00m,FCO,OTP,2026-05-01T21:42:57+0300,afternoon,night,monday,tuesday
Lufthansa,LH235 / LH1422,Leonardo da Vinci International Airport,Italy,2026-06-08T14:55,1,2026-06-08T23:40,Bucharest Henri Coandă International Airport,Romania,economy,249,38,4h 20m,FCO,OTP,2026-05-01T21:42:57+0300,afternoon,night,monday,monday
LOT,LO644 / LO631,Bucharest Henri Coandă International Airport,Romania,2026-06-01T05:35,1,2026-06-01T13:50,Sofia International Airport,Bulgaria,economy,149,31,3h 50m,OTP,SOF,2026-05-01T21:44:47+0300,morning,afternoon,monday,monday
