airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week
LOT,LO286 / LO641,Heathrow Airport,United Kingdom,2026-05-29T06:30,1,2026-05-29T13:50,Bucharest Henri Coandă International Airport,Romania,economy,179,28,4h 15m,LHR,OTP,2026-05-01T22:12:44+0300,morning,afternoon,friday,friday
KLM,KL1004 / KL1375,Heathrow Airport,United Kingdom,2026-05-29T09:55,1,2026-05-29T17:20,Bucharest Henri Coandă International Airport,Romania,economy,238,28,4h 10m,LHR,OTP,2026-05-01T22:12:44+0300,morning,evening,friday,friday
Lufthansa,LH2473 / LH1652,Heathrow Airport,United Kingdom,2026-05-29T10:50,1,2026-05-29T18:35,Bucharest Henri Coandă International Airport,Romania,economy,246,28,3h 55m,LHR,OTP,2026-05-01T22:12:44+0300,morning,evening,friday,friday
SWISS,LX325 / LX1886,Heathrow Airport,United Kingdom,2026-05-29T17:15,1,2026-05-30T01:10,Bucharest Henri Coandă International Airport,Romania,economy,252,28,4h 05m,LHR,OTP,2026-05-01T22:12:44+0300,evening,night,friday,saturday
Austrian,OS340 / OS693,Heathrow Airport,United Kingdom,2026-05-29T06:00,1,2026-05-29T12:25,Bucharest Henri Coandă International Airport,Romania,economy,398,28,3h 45m,LHR,OTP,2026-05-01T22:12:44+0300,morning,afternoon,friday,friday
Air Serbia,JU571 / JU102,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-12T12:30,1,2026-05-13T15:20,Bucharest Henri Coandă International Airport,Romania,economy,165,11,4h 20m,MAD,OTP,2026-05-01T22:12:49+0300,afternoon,afternoon,tuesday,wednesday
Lufthansa,LH1115 / LH1422,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-12T17:00,1,2026-05-12T23:50,Bucharest Henri Coandă International Airport,Romania,economy,356,11,4h 55m,MAD,OTP,2026-05-01T22:12:49+0300,evening,night,tuesday,tuesday
Lufthansa,LH1121 / LH1418,Adolfo Suárez Madrid-Barajas Airport,Spain,2026-05-12T05:55,1,2026-05-12T13:05,Bucharest Henri Coandă International Airport,Romania,economy,379,11,5h 00m,MAD,OTP,2026-05-01T22:12:49+0300,morning,afternoon,tuesday,tuesday
Air Serbia,JU353 / JU106,Frankfurt Airport,Germany,2026-06-06T20:20,1,2026-06-07T03:05,Bucharest Henri Coandă International Airport,Romania,economy,135,36,3h 25m,FRA,OTP,2026-05-01T22:14:15+0300,evening,night,saturday,sunday
LOT,LO380 / LO645,Frankfurt Airport,Germany,2026-06-06T20:00,1,2026-06-07T17:45,Bucharest Henri Coandă International Airport,Romania,economy,184,36,3h 40m,FRA,OTP,2026-05-01T22:14:15+0300,evening,evening,saturday,sunday
LOT,LO382 / LO645,Frankfurt Airport,Germany,2026-06-06T10:35,1,2026-06-06T17:45,Bucharest Henri Coandă International Airport,Romania,economy,195,36,3h 45m,FRA,OTP,2026-05-01T22:14:15+0300,morning,evening,saturday,saturday
Austrian,OS218 / OS693,Frankfurt Airport,Germany,2026-06-06T06:40,1,2026-06-06T12:25,Bucharest Henri Coandă International Airport,Romania,economy,270,36,3h 00m,FRA,OTP,2026-05-01T22:14:15+0300,morning,afternoon,saturday,saturday
Lufthansa,LH1418,Frankfurt Airport,Germany,2026-06-06T09:50,0,2026-06-06T13:10,Bucharest Henri Coandă International Airport,Romania,economy,328,36,2h 20m,FRA,OTP,2026-05-01T22:14:15+0300,morning,afternoon,saturday,saturday
Air France,AF1089 / AF1618,Bucharest Henri Coandă International Airport,Romania,2026-06-10T06:00,1,2026-06-10T11:25,Frankfurt Airport,Germany,economy,154,40,4h 45m,OTP,FRA,2026-05-01T22:14:55+0300,morning,morning,wednesday,wednesday
LOT,LO644 / LO381,Bucharest Henri Coandă International Airport,Romania,2026-06-10T05:35,1,2026-06-10T09:40,Frankfurt Airport,Germany,economy,166,40,3h 45m,OTP,FRA,2026-05-01T22:14:55+0300,morning,morning,wednesday,wednesday
KLM,KL1374 / KL1821,Bucharest Henri Coandă International Airport,Romania,2026-06-10T14:00,1,2026-06-10T18:00,Frankfurt Airport,Germany,economy,169,40,4h 00m,OTP,FRA,2026-05-01T22:14:55+0300,afternoon,evening,wednesday,wednesday
Austrian,OS694 / OS213,Bucharest Henri Coandă International Airport,Romania,2026-06-10T13:15,1,2026-06-10T16:25,Frankfurt Airport,Germany,economy,218,40,3h 10m,OTP,FRA,2026-05-01T22:14:55+0300,afternoon,afternoon,wednesday,wednesday
Lufthansa,LH1417,Bucharest Henri Coandă International Airport,Romania,2026-06-10T17:15,0,2026-06-10T18:50,Frankfurt Airport,Germany,economy,241,40,2h 35m,OTP,FRA,2026-05-01T22:14:55+0300,evening,evening,wednesday,wednesday
Austrian,OS696 / OS215,Bucharest Henri Coandă International Airport,Romania,2026-06-10T15:55,1,2026-06-10T18:40,Frankfurt Airport,Germany,economy,288,40,3h 10m,OTP,FRA,2026-05-01T22:14:55+0300,afternoon,evening,wednesday,wednesday
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-06-10T13:45,0,2026-06-10T15:20,Frankfurt Airport,Germany,economy,296,40,2h 35m,OTP,FRA,2026-05-01T22:14:55+0300,afternoon,afternoon,wednesday,wednesday
Lufthansa,LH1423,Bucharest Henri Coandă International Airport,Romania,2026-06-10T06:05,0,2026-06-10T07:40,Frankfurt Airport,Germany,economy,305,40,2h 35m,OTP,FRA,2026-05-01T22:14:55+0300,morning,morning,wednesday,wednesday
Air Serbia,JU537 / JU102,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T04:30,1,2026-05-09T15:20,Bucharest Henri Coandă International Airport,Romania,economy,141,8,2h 50m,ATH,OTP,2026-05-01T22:16:20+0300,night,afternoon,saturday,saturday
Norwegian,DY1885 / DY1560,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T20:30,1,2026-05-10T11:40,Bucharest Henri Coandă International Airport,Romania,economy,158,8,6h 50m,ATH,OTP,2026-05-01T22:16:20+0300,evening,morning,saturday,sunday
Lufthansa,LH1755 / LH1654,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T19:35,1,2026-05-10T01:10,Bucharest Henri Coandă International Airport,Romania,economy,269,8,4h 45m,ATH,OTP,2026-05-01T22:16:20+0300,evening,night,saturday,sunday
Turkish Airlines,TK1842 / TK1043,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T03:55,1,2026-05-09T08:10,Bucharest Henri Coandă International Airport,Romania,economy,324,8,2h 45m,ATH,OTP,2026-05-01T22:16:20+0300,night,morning,saturday,saturday
Lufthansa,LH1751 / LH1652,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T12:45,1,2026-05-09T18:35,Bucharest Henri Coandă International Airport,Romania,economy,485,8,4h 45m,ATH,OTP,2026-05-01T22:16:20+0300,afternoon,evening,saturday,saturday
Turkish Airlines,TK1844 / TK1039,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-09T10:25,1,2026-05-09T14:35,Bucharest Henri Coandă International Airport,Romania,economy,515,8,2h 50m,ATH,OTP,2026-05-01T22:16:20+0300,morning,afternoon,saturday,saturday
Austrian,OS772 / OS697,Sofia International Airport,Bulgaria,2026-06-24T12:25,1,2026-06-24T18:05,Bucharest Henri Coandă International Airport,Romania,economy,199,54,3h 10m,SOF,OTP,2026-05-01T22:16:35+0300,afternoon,evening,wednesday,wednesday
Aegean,A3981 / A3962,Sofia International Airport,Bulgaria,2026-06-24T10:55,1,2026-06-24T19:45,Bucharest Henri Coandă International Airport,Romania,economy,218,54,2h 50m,SOF,OTP,2026-05-01T22:16:35+0300,morning,evening,wednesday,wednesday
KLM,KL1510 / KL1373,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-23T06:20,1,2026-06-23T13:00,Bucharest Henri Coandă International Airport,Romania,economy,244,53,4h 50m,BCN,OTP,2026-05-01T22:16:48+0300,morning,afternoon,tuesday,tuesday
Lufthansa,LH1817 / LH1654,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-23T18:40,1,2026-06-24T01:10,Bucharest Henri Coandă International Airport,Romania,economy,247,53,4h 05m,BCN,OTP,2026-05-01T22:16:48+0300,evening,night,tuesday,wednesday
SWISS,LX1959 / LX1886,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-23T18:30,1,2026-06-24T01:10,Bucharest Henri Coandă International Airport,Romania,economy,255,53,4h 10m,BCN,OTP,2026-05-01T22:16:48+0300,evening,night,tuesday,wednesday
Lufthansa,LH1133 / LH1422,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-06-23T17:20,1,2026-06-23T23:50,Bucharest Henri Coandă International Airport,Romania,economy,257,53,4h 30m,BCN,OTP,2026-05-01T22:16:48+0300,evening,night,tuesday,tuesday
KLM,KL1372 / KL1005,Bucharest Henri Coandă International Airport,Romania,2026-06-06T07:05,1,2026-06-06T10:45,Heathrow Airport,United Kingdom,economy,121,36,4h 15m,OTP,LHR,2026-05-01T22:17:09+0300,morning,morning,saturday,saturday
SWISS,LX1889 / LX338,Bucharest Henri Coandă International Airport,Romania,2026-06-06T16:10,1,2026-06-06T19:20,Heathrow Airport,United Kingdom,economy,192,36,4h 20m,OTP,LHR,2026-05-01T22:17:09+0300,afternoon,evening,saturday,saturday
Lufthansa,LH1419 / LH918,Bucharest Henri Coandă International Airport,Romania,2026-06-06T13:55,1,2026-06-06T18:40,Heathrow Airport,United Kingdom,economy,192,36,4h 15m,OTP,LHR,2026-05-01T22:17:09+0300,afternoon,evening,saturday,saturday
Air Serbia,JU405 / JU102,Leonardo da Vinci International Airport,Italy,2026-06-22T21:00,1,2026-06-23T15:20,Bucharest Henri Coandă International Airport,Romania,economy,105,52,2h 45m,FCO,OTP,2026-05-01T22:17:50+0300,night,afternoon,monday,tuesday
Lufthansa,LH1869 / LH1654,Leonardo da Vinci International Airport,Italy,2026-06-22T15:55,1,2026-06-23T01:10,Bucharest Henri Coandă International Airport,Romania,economy,202,52,3h 35m,FCO,OTP,2026-05-01T22:17:50+0300,afternoon,night,monday,tuesday
Aegean,A3651 / A3962,Leonardo da Vinci International Airport,Italy,2026-06-22T09:30,1,2026-06-22T19:45,Bucharest Henri Coandă International Airport,Romania,economy,208,52,3h 35m,FCO,OTP,2026-05-01T22:17:50+0300,morning,evening,monday,monday
Air Serbia,JU117 / JU106,Sofia International Airport,Bulgaria,2026-05-21T05:00,1,2026-05-22T03:05,Bucharest Henri Coandă International Airport,Romania,economy,107,20,2h 45m,SOF,OTP,2026-05-01T22:18:07+0300,morning,night,thursday,friday
Air Serbia,JU113 / JU106,Sofia International Airport,Bulgaria,2026-05-21T16:00,1,2026-05-22T03:05,Bucharest Henri Coandă International Airport,Romania,economy,144,20,2h 45m,SOF,OTP,2026-05-01T22:18:07+0300,afternoon,night,thursday,friday
Austrian,OS780 / OS695,Sofia International Airport,Bulgaria,2026-05-21T08:00,1,2026-05-21T15:10,Bucharest Henri Coandă International Airport,Romania,economy,220,20,3h 10m,SOF,OTP,2026-05-01T22:18:07+0300,morning,afternoon,thursday,thursday
Aegean,A3981 / A3962,Sofia International Airport,Bulgaria,2026-05-21T12:00,1,2026-05-21T19:45,Bucharest Henri Coandă International Airport,Romania,economy,229,20,2h 50m,SOF,OTP,2026-05-01T22:18:07+0300,afternoon,evening,thursday,thursday
Turkish Airlines,TK1028 / TK1039,Sofia International Airport,Bulgaria,2026-05-21T09:35,1,2026-05-21T14:35,Bucharest Henri Coandă International Airport,Romania,economy,263,20,2h 45m,SOF,OTP,2026-05-01T22:18:07+0300,morning,afternoon,thursday,thursday
Austrian,OS772 / OS697,Sofia International Airport,Bulgaria,2026-05-21T12:25,1,2026-05-21T18:05,Bucharest Henri Coandă International Airport,Romania,economy,268,20,3h 10m,SOF,OTP,2026-05-01T22:18:07+0300,afternoon,evening,thursday,thursday
Air Serbia,JU113 / JU106,Sofia International Airport,Bulgaria,2026-06-11T16:00,1,2026-06-12T03:05,Bucharest Henri Coandă International Airport,Romania,economy,144,41,2h 45m,SOF,OTP,2026-05-01T22:18:08+0300,afternoon,night,thursday,friday
LOT,LO636 / LO641,Sofia International Airport,Bulgaria,2026-06-11T05:30,1,2026-06-11T13:50,Bucharest Henri Coandă International Airport,Romania,economy,171,41,3h 50m,SOF,OTP,2026-05-01T22:18:08+0300,morning,afternoon,thursday,thursday
Aegean,A3981 / A3962,Sofia International Airport,Bulgaria,2026-06-11T10:55,1,2026-06-11T19:45,Bucharest Henri Coandă International Airport,Romania,economy,182,41,2h 50m,SOF,OTP,2026-05-01T22:18:08+0300,morning,evening,thursday,thursday
Turkish Airlines,TK1028 / TK1039,Sofia International Airport,Bulgaria,2026-06-11T09:35,1,2026-06-11T14:35,Bucharest Henri Coandă International Airport,Romania,economy,225,41,2h 45m,SOF,OTP,2026-05-01T22:18:08+0300,morning,afternoon,thursday,thursday
Air Serbia,JU103 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-06-16T16:05,1,2026-06-17T15:30,Sofia International Airport,Bulgaria,economy,128,46,2h 30m,OTP,SOF,2026-05-01T22:18:12+0300,afternoon,afternoon,tuesday,wednesday
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-06-16T18:30,1,2026-06-17T01:45,Sofia International Airport,Bulgaria,economy,149,46,3h 50m,OTP,SOF,2026-05-01T22:18:12+0300,evening,night,tuesday,wednesday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-06-16T13:15,1,2026-06-16T18:10,Sofia International Airport,Bulgaria,economy,213,46,3h 10m,OTP,SOF,2026-05-01T22:18:12+0300,afternoon,evening,tuesday,tuesday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-06-16T18:55,1,2026-06-16T23:55,Sofia International Airport,Bulgaria,economy,213,46,3h 10m,OTP,SOF,2026-05-01T22:18:12+0300,evening,night,tuesday,tuesday
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-06-16T09:30,1,2026-06-16T15:00,Sofia International Airport,Bulgaria,economy,220,46,2h 50m,OTP,SOF,2026-05-01T22:18:12+0300,morning,afternoon,tuesday,tuesday
Air Serbia,JU113 / JU106,Sofia International Airport,Bulgaria,2026-05-09T16:00,1,2026-05-11T03:05,Bucharest Henri Coandă International Airport,Romania,economy,131,8,2h 45m,SOF,OTP,2026-05-01T22:18:59+0300,afternoon,night,saturday,monday
Air Serbia,JU113 / JU102,Sofia International Airport,Bulgaria,2026-05-09T16:00,1,2026-05-10T15:35,Bucharest Henri Coandă International Airport,Romania,economy,144,8,2h 45m,SOF,OTP,2026-05-01T22:18:59+0300,afternoon,afternoon,saturday,sunday
Turkish Airlines,TK1032 / TK1043,Sofia International Airport,Bulgaria,2026-05-09T15:50,1,2026-05-10T08:10,Bucharest Henri Coandă International Airport,Romania,economy,197,8,2h 45m,SOF,OTP,2026-05-01T22:18:59+0300,afternoon,morning,saturday,sunday
LOT,LO634 / LO639,Sofia International Airport,Bulgaria,2026-05-09T18:45,1,2026-05-09T23:15,Bucharest Henri Coandă International Airport,Romania,economy,329,8,3h 45m,SOF,OTP,2026-05-01T22:18:59+0300,evening,night,saturday,saturday
Austrian,OS780 / OS693,Sofia International Airport,Bulgaria,2026-05-09T08:00,1,2026-05-09T12:25,Bucharest Henri Coandă International Airport,Romania,economy,452,8,3h 10m,SOF,OTP,2026-05-01T22:18:59+0300,morning,afternoon,saturday,saturday
Air Serbia,JU103 / JU570,Bucharest Henri Coandă International Airport,Romania,2026-06-30T16:05,1,2026-07-01T11:40,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,118,60,4h 50m,OTP,MAD,2026-05-01T22:19:06+0300,afternoon,morning,tuesday,wednesday
KLM,KL1376 / KL1509,Bucharest Henri Coandă International Airport,Romania,2026-06-30T18:10,1,2026-06-30T23:25,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,182,60,5h 25m,OTP,MAD,2026-05-01T22:19:06+0300,evening,night,tuesday,tuesday
KLM,KL1374 / KL1507,Bucharest Henri Coandă International Airport,Romania,2026-06-30T14:00,1,2026-06-30T19:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,184,60,5h 30m,OTP,MAD,2026-05-01T22:19:06+0300,afternoon,evening,tuesday,tuesday
Lufthansa,LH1655 / LH1800,Bucharest Henri Coandă International Airport,Romania,2026-06-30T06:15,1,2026-06-30T11:05,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,206,60,4h 55m,OTP,MAD,2026-05-01T22:19:06+0300,morning,morning,tuesday,tuesday
Turkish Airlines,TK1044 / TK1859,Bucharest Henri Coandă International Airport,Romania,2026-06-30T09:30,1,2026-06-30T17:20,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,60,6h 10m,OTP,MAD,2026-05-01T22:19:06+0300,morning,evening,tuesday,tuesday
Turkish Airlines,TK1040 / TK1359,Bucharest Henri Coandă International Airport,Romania,2026-06-30T15:55,1,2026-06-30T22:35,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,60,6h 10m,OTP,MAD,2026-05-01T22:19:06+0300,afternoon,night,tuesday,tuesday
Air Serbia,JU107 / JU350,Bucharest Henri Coandă International Airport,Romania,2026-05-15T04:30,1,2026-05-15T09:00,Frankfurt Airport,Germany,economy,132,14,3h 35m,OTP,FRA,2026-05-01T22:19:13+0300,night,morning,friday,friday
LOT,LO644 / LO381,Bucharest Henri Coandă International Airport,Romania,2026-05-15T05:35,1,2026-05-15T09:40,Frankfurt Airport,Germany,economy,169,14,3h 45m,OTP,FRA,2026-05-01T22:19:13+0300,morning,morning,friday,friday
KLM,KL1374 / KL1825,Bucharest Henri Coandă International Airport,Romania,2026-05-15T14:00,1,2026-05-15T22:00,Frankfurt Airport,Germany,economy,194,14,4h 00m,OTP,FRA,2026-05-01T22:19:13+0300,afternoon,night,friday,friday
Lufthansa,LH1423,Bucharest Henri Coandă International Airport,Romania,2026-05-15T06:05,0,2026-05-15T07:40,Frankfurt Airport,Germany,economy,244,14,2h 35m,OTP,FRA,2026-05-01T22:19:13+0300,morning,morning,friday,friday
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-05-15T13:45,0,2026-05-15T15:20,Frankfurt Airport,Germany,economy,252,14,2h 35m,OTP,FRA,2026-05-01T22:19:13+0300,afternoon,afternoon,friday,friday
Lufthansa,LH1417,Bucharest Henri Coandă International Airport,Romania,2026-05-15T17:35,0,2026-05-15T19:10,Frankfurt Airport,Germany,economy,289,14,2h 35m,OTP,FRA,2026-05-01T22:19:13+0300,evening,evening,friday,friday
Austrian,OS696 / OS215,Bucharest Henri Coandă International Airport,Romania,2026-05-15T15:55,1,2026-05-15T18:40,Frankfurt Airport,Germany,economy,300,14,3h 10m,OTP,FRA,2026-05-01T22:19:13+0300,afternoon,evening,friday,friday
Aegean,A3961,Bucharest Henri Coandă International Airport,Romania,2026-05-23T09:55,0,2026-05-23T11:30,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,139,22,1h 35m,OTP,ATH,2026-05-01T22:19:32+0300,morning,morning,saturday,saturday
Air Serbia,JU103 / JU536,Bucharest Henri Coandă International Airport,Romania,2026-05-23T16:05,1,2026-05-24T03:20,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,193,22,2h 50m,OTP,ATH,2026-05-01T22:19:32+0300,afternoon,night,saturday,sunday
Turkish Airlines,TK1046 / TK1841,Bucharest Henri Coandă International Airport,Romania,2026-05-23T21:35,1,2026-05-24T03:05,"Athens International Airport ""Eleftherios Venizelos""",Greece,economy,235,22,2h 55m,OTP,ATH,2026-05-01T22:19:32+0300,night,night,saturday,sunday
Lufthansa,LH1867 / LH1652,Leonardo da Vinci International Airport,Italy,2026-06-23T10:50,1,2026-06-23T18:35,Bucharest Henri Coandă International Airport,Romania,economy,202,53,3h 35m,FCO,OTP,2026-05-01T22:19:34+0300,morning,evening,tuesday,tuesday
Air Serbia,JU581 / JU106,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-05-21T09:55,1,2026-05-22T03:05,Bucharest Henri Coandă International Airport,Romania,economy,229,20,4h 00m,BCN,OTP,2026-05-01T22:19:36+0300,morning,night,thursday,friday
KLM,KL1510 / KL1373,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-05-21T06:20,1,2026-05-21T13:00,Bucharest Henri Coandă International Airport,Romania,economy,354,20,4h 50m,BCN,OTP,2026-05-01T22:19:36+0300,morning,afternoon,thursday,thursday
Turkish Airlines,TK1852 / TK1039,Josep Tarradellas Barcelona-El Prat Airport,Spain,2026-05-21T07:40,1,2026-05-21T14:35,Bucharest Henri Coandă International Airport,Romania,economy,380,20,4h 45m,BCN,OTP,2026-05-01T22:19:36+0300,morning,afternoon,thursday,thursday
Air Serbia,JU103 / JU210,Bucharest Henri Coandă International Airport,Romania,2026-06-29T16:05,1,2026-06-30T12:30,Heathrow Airport,United Kingdom,economy,167,59,4h 20m,OTP,LHR,2026-05-01T22:19:55+0300,afternoon,afternoon,monday,tuesday
Lufthansa,LH1653 / LH2484,Bucharest Henri Coandă International Airport,Romania,2026-06-29T19:20,1,2026-06-29T22:40,Heathrow Airport,United Kingdom,economy,187,59,4h 15m,OTP,LHR,2026-05-01T22:19:55+0300,evening,night,monday,monday
SWISS,LX1889 / LX338,Bucharest Henri Coandă International Airport,Romania,2026-06-29T16:10,1,2026-06-29T19:20,Heathrow Airport,United Kingdom,economy,192,59,4h 20m,OTP,LHR,2026-05-01T22:19:55+0300,afternoon,evening,monday,monday
Lufthansa,LH1417 / LH922,Bucharest Henri Coandă International Airport,Romania,2026-06-29T17:15,1,2026-06-29T22:10,Heathrow Airport,United Kingdom,economy,192,59,4h 15m,OTP,LHR,2026-05-01T22:19:55+0300,evening,night,monday,monday
LOT,LO646 / LO285,Bucharest Henri Coandă International Airport,Romania,2026-06-29T18:30,1,2026-06-29T22:00,Heathrow Airport,United Kingdom,economy,203,59,4h 30m,OTP,LHR,2026-05-01T22:19:55+0300,evening,night,monday,monday
Lufthansa,LH1419 / LH918,Bucharest Henri Coandă International Airport,Romania,2026-06-29T13:50,1,2026-06-29T18:40,Heathrow Airport,United Kingdom,economy,219,59,4h 15m,OTP,LHR,2026-05-01T22:19:55+0300,afternoon,evening,monday,monday
KLM,KL1374 / KL1013,Bucharest Henri Coandă International Airport,Romania,2026-06-29T14:00,1,2026-06-29T17:35,Heathrow Airport,United Kingdom,economy,247,59,4h 15m,OTP,LHR,2026-05-01T22:19:55+0300,afternoon,evening,monday,monday
British Airways,BA879,Bucharest Henri Coandă International Airport,Romania,2026-06-29T08:15,0,2026-06-29T10:00,Heathrow Airport,United Kingdom,economy,295,59,3h 45m,OTP,LHR,2026-05-01T22:19:55+0300,morning,morning,monday,monday
Air Serbia,JU103 / JU352,Bucharest Henri Coandă International Airport,Romania,2026-06-16T16:05,1,2026-06-16T19:30,Frankfurt Airport,Germany,economy,155,46,3h 20m,OTP,FRA,2026-05-01T22:20:18+0300,afternoon,evening,tuesday,tuesday
LOT,LO642 / LO379,Bucharest Henri Coandă International Airport,Romania,2026-06-16T14:35,1,2026-06-16T19:00,Frankfurt Airport,Germany,economy,157,46,3h 50m,OTP,FRA,2026-05-01T22:20:18+0300,afternoon,evening,tuesday,tuesday
Austrian,OS692 / OS209,Bucharest Henri Coandă International Airport,Romania,2026-06-16T09:50,1,2026-06-16T12:45,Frankfurt Airport,Germany,economy,164,46,3h 10m,OTP,FRA,2026-05-01T22:20:18+0300,morning,afternoon,tuesday,tuesday
Lufthansa,LH1417,Bucharest Henri Coandă International Airport,Romania,2026-06-16T17:15,0,2026-06-16T18:50,Frankfurt Airport,Germany,economy,175,46,2h 35m,OTP,FRA,2026-05-01T22:20:18+0300,evening,evening,tuesday,tuesday
Lufthansa,LH1423,Bucharest Henri Coandă International Airport,Romania,2026-06-16T06:05,0,2026-06-16T07:40,Frankfurt Airport,Germany,economy,223,46,2h 35m,OTP,FRA,2026-05-01T22:20:18+0300,morning,morning,tuesday,tuesday
Air Serbia,JU103 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-26T16:05,1,2026-05-28T03:00,Sofia International Airport,Bulgaria,economy,121,25,2h 30m,OTP,SOF,2026-05-01T22:20:45+0300,afternoon,night,tuesday,thursday
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-26T18:30,1,2026-05-27T01:55,Sofia International Airport,Bulgaria,economy,166,25,3h 50m,OTP,SOF,2026-05-01T22:20:45+0300,evening,night,tuesday,wednesday
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-26T09:30,1,2026-05-26T15:00,Sofia International Airport,Bulgaria,economy,246,25,2h 50m,OTP,SOF,2026-05-01T22:20:45+0300,morning,afternoon,tuesday,tuesday
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-05-26T18:55,1,2026-05-26T23:55,Sofia International Airport,Bulgaria,economy,254,25,3h 10m,OTP,SOF,2026-05-01T22:20:45+0300,evening,night,tuesday,tuesday
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-26T13:15,1,2026-05-26T18:10,Sofia International Airport,Bulgaria,economy,279,25,3h 10m,OTP,SOF,2026-05-01T22:20:45+0300,afternoon,evening,tuesday,tuesday
Austrian,OS692 / OS773,Bucharest Henri Coandă International Airport,Romania,2026-05-26T09:50,1,2026-05-26T15:20,Sofia International Airport,Bulgaria,economy,293,25,3h 10m,OTP,SOF,2026-05-01T22:20:45+0300,morning,afternoon,tuesday,tuesday
LOT,LO1602 / LO639,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-29T14:35,1,2026-05-29T23:15,Bucharest Henri Coandă International Airport,Romania,economy,126,28,4h 30m,ATH,OTP,2026-05-01T22:20:56+0300,afternoon,night,friday,friday
Lufthansa,LH1755 / LH1654,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-29T19:30,1,2026-05-30T01:10,Bucharest Henri Coandă International Airport,Romania,economy,269,28,4h 45m,ATH,OTP,2026-05-01T22:20:56+0300,evening,night,friday,saturday
Turkish Airlines,TK1844 / TK1039,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-29T10:25,1,2026-05-29T14:35,Bucharest Henri Coandă International Airport,Romania,economy,324,28,2h 50m,ATH,OTP,2026-05-01T22:20:56+0300,morning,afternoon,friday,friday
Turkish Airlines,TK1842 / TK1043,"Athens International Airport ""Eleftherios Venizelos""",Greece,2026-05-29T03:55,1,2026-05-29T08:10,Bucharest Henri Coandă International Airport,Romania,economy,453,28,2h 45m,ATH,OTP,2026-05-01T22:20:56+0300,night,morning,friday,friday
LOT,LO302 / LO639,Leonardo da Vinci International Airport,Italy,2026-05-04T10:45,1,2026-05-04T23:15,Bucharest Henri Coandă International Airport,Romania,economy,314,3,4h 25m,FCO,OTP,2026-05-01T22:21:07+0300,morning,night,monday,monday
Air France,AF1505 / AF1088,Leonardo da Vinci International Airport,Italy,2026-05-04T15:30,1,2026-05-04T23:25,Bucharest Henri Coandă International Airport,Romania,economy,465,3,5h 00m,FCO,OTP,2026-05-01T22:21:07+0300,afternoon,night,monday,monday
Turkish Airlines,TK1040 / TK1361,Bucharest Henri Coandă International Airport,Romania,2026-05-12T15:55,1,2026-05-12T23:35,Leonardo da Vinci International Airport,Italy,economy,212,11,4h 15m,OTP,FCO,2026-05-01T22:21:39+0300,afternoon,night,tuesday,tuesday
