airline,flight,source_city,source_country,departure_time,stops,arrival_time,destination_city,destination_country,class,price,days_left,duration,source_airport,destination_airport,scraped_at,departure_daypart,arrival_daypart,departure_day_of_week,arrival_day_of_week,duration_minutes,route,country_pair,is_nonstop
Turkish Airlines,TK1046 / TK1013,Bucharest Henri Coandă International Airport,Romania,2026-06-01 21:35:00,1,2026-06-02 09:25:00,Timișoara International Airport,Romania,economy,167,31,3h 15m,OTP,TSR,2026-05-01 21:29:29+03:00,night,morning,monday,tuesday,195,OTP -> TSR,Romania -> Romania,False
Turkish Airlines,TK1046 / TK1347,Bucharest Henri Coandă International Airport,Romania,2026-05-18 21:35:00,1,2026-05-19 20:15:00,"Cluj ""Avram Iancu"" International Airport",Romania,economy,281,17,3h 05m,OTP,CLJ,2026-05-01 21:29:40+03:00,night,evening,monday,tuesday,185,OTP -> CLJ,Romania -> Romania,False
Lufthansa,LH1651 / LH1670,Bucharest Henri Coandă International Airport,Romania,2026-05-18 12:45:00,1,2026-05-18 17:25:00,"Cluj ""Avram Iancu"" International Airport",Romania,economy,509,17,3h 50m,OTP,CLJ,2026-05-01 21:29:40+03:00,afternoon,evening,monday,monday,230,OTP -> CLJ,Romania -> Romania,False
LOT,LO642 / LO431,Bucharest Henri Coandă International Airport,Romania,2026-06-13 14:35:00,1,2026-06-13 23:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,196,43,5h 45m,OTP,MAD,2026-05-01 21:29:42+03:00,afternoon,night,saturday,saturday,345,OTP -> MAD,Romania -> Spain,False
Turkish Airlines,TK1044 / TK1859,Bucharest Henri Coandă International Airport,Romania,2026-06-13 09:30:00,1,2026-06-13 16:55:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,43,6h 05m,OTP,MAD,2026-05-01 21:29:42+03:00,morning,afternoon,saturday,saturday,365,OTP -> MAD,Romania -> Spain,False
Turkish Airlines,TK1040 / TK1359,Bucharest Henri Coandă International Airport,Romania,2026-06-13 15:55:00,1,2026-06-13 22:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,208,43,6h 10m,OTP,MAD,2026-05-01 21:29:42+03:00,afternoon,night,saturday,saturday,370,OTP -> MAD,Romania -> Spain,False
LOT,LO644 / LO433,Bucharest Henri Coandă International Airport,Romania,2026-06-13 05:35:00,1,2026-06-13 14:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,225,43,5h 40m,OTP,MAD,2026-05-01 21:29:42+03:00,morning,afternoon,saturday,saturday,340,OTP -> MAD,Romania -> Spain,False
KLM,KL1374 / KL1507,Bucharest Henri Coandă International Airport,Romania,2026-06-13 14:00:00,1,2026-06-13 19:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,248,43,5h 30m,OTP,MAD,2026-05-01 21:29:42+03:00,afternoon,evening,saturday,saturday,330,OTP -> MAD,Romania -> Spain,False
LOT,LO640 / LO433,Bucharest Henri Coandă International Airport,Romania,2026-06-13 08:20:00,1,2026-06-13 14:35:00,Adolfo Suárez Madrid-Barajas Airport,Spain,economy,301,43,5h 45m,OTP,MAD,2026-05-01 21:29:42+03:00,morning,afternoon,saturday,saturday,345,OTP -> MAD,Romania -> Spain,False
Austrian,OS704 / OS517,Iași Airport,Romania,2026-05-13 16:00:00,1,2026-05-13 18:25:00,Bologna Guglielmo Marconi Airport,Italy,economy,783,12,2h 50m,IAS,BLQ,2026-05-01 21:29:43+03:00,afternoon,evening,wednesday,wednesday,170,IAS -> BLQ,Romania -> Italy,False
TAROM,RO702 / RO403,Iași Airport,Romania,2026-06-30 09:15:00,1,2026-07-01 12:00:00,Leonardo da Vinci International Airport,Italy,economy,184,60,3h 20m,IAS,FCO,2026-05-01 21:29:44+03:00,morning,afternoon,tuesday,wednesday,200,IAS -> FCO,Romania -> Italy,False
TAROM,RO708 / RO403,Iași Airport,Romania,2026-06-30 19:55:00,1,2026-07-01 12:00:00,Leonardo da Vinci International Airport,Italy,economy,196,60,3h 20m,IAS,FCO,2026-05-01 21:29:44+03:00,evening,afternoon,tuesday,wednesday,200,IAS -> FCO,Romania -> Italy,False
SWISS,LX1889 / LX1482,Bucharest Henri Coandă International Airport,Romania,2026-05-28 16:10:00,1,2026-05-28 23:15:00,Václav Havel Airport Prague,Czech Republic,economy,178,27,3h 45m,OTP,PRG,2026-05-01 21:29:45+03:00,afternoon,night,thursday,thursday,225,OTP -> PRG,Romania -> Czech Republic,False
KLM,KL1376 / KL1361,Bucharest Henri Coandă International Airport,Romania,2026-05-28 18:10:00,1,2026-05-28 22:35:00,Václav Havel Airport Prague,Czech Republic,economy,189,27,4h 15m,OTP,PRG,2026-05-01 21:29:45+03:00,evening,night,thursday,thursday,255,OTP -> PRG,Romania -> Czech Republic,False
LOT,LO640 / LO527,Bucharest Henri Coandă International Airport,Romania,2026-05-28 08:20:00,1,2026-05-28 12:05:00,Václav Havel Airport Prague,Czech Republic,economy,208,27,3h 05m,OTP,PRG,2026-05-01 21:29:45+03:00,morning,afternoon,thursday,thursday,185,OTP -> PRG,Romania -> Czech Republic,False
LOT,LO646 / LO529,Bucharest Henri Coandă International Airport,Romania,2026-05-28 18:30:00,1,2026-05-28 21:40:00,Václav Havel Airport Prague,Czech Republic,economy,208,27,3h 05m,OTP,PRG,2026-05-01 21:29:45+03:00,evening,night,thursday,thursday,185,OTP -> PRG,Romania -> Czech Republic,False
Austrian,OS704 / OS555,Iași Airport,Romania,2026-05-22 16:00:00,1,2026-05-23 17:15:00,Leonardo da Vinci International Airport,Italy,economy,259,21,3h 10m,IAS,FCO,2026-05-01 21:29:46+03:00,afternoon,evening,friday,saturday,190,IAS -> FCO,Romania -> Italy,False
Austrian,OS704 / OS551,Iași Airport,Romania,2026-05-22 16:00:00,1,2026-05-23 08:05:00,Leonardo da Vinci International Airport,Italy,economy,444,21,3h 05m,IAS,FCO,2026-05-01 21:29:46+03:00,afternoon,morning,friday,saturday,185,IAS -> FCO,Romania -> Italy,False
KLM,KL1374 / KL1825,Bucharest Henri Coandă International Airport,Romania,2026-06-13 14:00:00,1,2026-06-13 22:00:00,Frankfurt Airport,Germany,economy,144,43,4h 00m,OTP,FRA,2026-05-01 21:29:46+03:00,afternoon,night,saturday,saturday,240,OTP -> FRA,Romania -> Germany,False
AJet,VF596 / VF523,Bucharest Henri Coandă International Airport,Romania,2026-06-13 19:55:00,1,2026-06-14 16:45:00,Frankfurt Airport,Germany,economy,145,43,5h 15m,OTP,FRA,2026-05-01 21:29:46+03:00,evening,afternoon,saturday,sunday,315,OTP -> FRA,Romania -> Germany,False
SWISS,LX1889 / LX1076,Bucharest Henri Coandă International Airport,Romania,2026-06-13 16:10:00,1,2026-06-13 19:55:00,Frankfurt Airport,Germany,economy,208,43,3h 30m,OTP,FRA,2026-05-01 21:29:46+03:00,afternoon,evening,saturday,saturday,210,OTP -> FRA,Romania -> Germany,False
Austrian,OS694 / OS213,Bucharest Henri Coandă International Airport,Romania,2026-06-13 13:15:00,1,2026-06-13 16:25:00,Frankfurt Airport,Germany,economy,214,43,3h 10m,OTP,FRA,2026-05-01 21:29:46+03:00,afternoon,afternoon,saturday,saturday,190,OTP -> FRA,Romania -> Germany,False
Lufthansa,LH1419,Bucharest Henri Coandă International Airport,Romania,2026-06-13 13:55:00,0,2026-06-13 15:30:00,Frankfurt Airport,Germany,economy,304,43,2h 35m,OTP,FRA,2026-05-01 21:29:46+03:00,afternoon,afternoon,saturday,saturday,155,OTP -> FRA,Romania -> Germany,True
Turkish Airlines,TK1046 / TK1015,Bucharest Henri Coandă International Airport,Romania,2026-06-20 21:35:00,1,2026-06-21 21:10:00,Timișoara International Airport,Romania,economy,243,50,3h 15m,OTP,TSR,2026-05-01 21:29:51+03:00,night,night,saturday,sunday,195,OTP -> TSR,Romania -> Romania,False
Austrian,OS698 / OS703,Bucharest Henri Coandă International Airport,Romania,2026-06-12 18:55:00,1,2026-06-13 15:20:00,Iași Airport,Romania,economy,231,42,3h 10m,OTP,IAS,2026-05-01 21:30:05+03:00,evening,afternoon,friday,saturday,190,OTP -> IAS,Romania -> Romania,False
Air Serbia,JU107 / JU116,Bucharest Henri Coandă International Airport,Romania,2026-05-29 04:30:00,1,2026-05-30 03:00:00,Sofia International Airport,Bulgaria,economy,97,28,2h 45m,OTP,SOF,2026-05-01 21:30:06+03:00,night,night,friday,saturday,165,OTP -> SOF,Romania -> Bulgaria,False
Air Serbia,JU107 / JU112,Bucharest Henri Coandă International Airport,Romania,2026-05-29 04:30:00,1,2026-05-29 15:30:00,Sofia International Airport,Bulgaria,economy,146,28,2h 45m,OTP,SOF,2026-05-01 21:30:06+03:00,night,afternoon,friday,friday,165,OTP -> SOF,Romania -> Bulgaria,False
LOT,LO646 / LO635,Bucharest Henri Coandă International Airport,Romania,2026-05-29 18:30:00,1,2026-05-30 01:55:00,Sofia International Airport,Bulgaria,economy,149,28,3h 50m,OTP,SOF,2026-05-01 21:30:06+03:00,evening,night,friday,saturday,230,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS698 / OS779,Bucharest Henri Coandă International Airport,Romania,2026-05-29 18:55:00,1,2026-05-29 23:55:00,Sofia International Airport,Bulgaria,economy,234,28,3h 10m,OTP,SOF,2026-05-01 21:30:06+03:00,evening,night,friday,friday,190,OTP -> SOF,Romania -> Bulgaria,False
Turkish Airlines,TK1044 / TK1031,Bucharest Henri Coandă International Airport,Romania,2026-05-29 09:30:00,1,2026-05-29 15:00:00,Sofia International Airport,Bulgaria,economy,257,28,2h 50m,OTP,SOF,2026-05-01 21:30:06+03:00,morning,afternoon,friday,friday,170,OTP -> SOF,Romania -> Bulgaria,False
Austrian,OS694 / OS775,Bucharest Henri Coandă International Airport,Romania,2026-05-29 13:15:00,1,2026-05-29 18:10:00,Sofia International Airport,Bulgaria,economy,326,28,3h 10m,OTP,SOF,2026-05-01 21:30:06+03:00,afternoon,evening,friday,friday,190,OTP -> SOF,Romania -> Bulgaria,False
TAROM,RO617,Bucharest Henri Coandă International Airport,Romania,2026-06-03 16:45:00,0,2026-06-03 18:10:00,Maramures International Airport,Romania,economy,124,33,1h 25m,OTP,BAY,2026-05-01 21:30:11+03:00,afternoon,evening,wednesday,wednesday,85,OTP -> BAY,Romania -> Romania,True
